機台名稱,Datatime,工卡號,F_DORDER_ID,F_SEQ,F_COLOR_SEQ,F_PROD_ID,F_BATCH_ID,F_COLOR_CHI,F_LAB_ID,F_COLOR_ID,F_COLOR_ENG,F_COLOR_ARGB,COLOR_FLAG,F_UNIT,F_UNIT_P,Process,主機速度,冷風轉速1,冷風轉速2,烘箱轉速1,烘箱轉速2,烘箱轉速3,烘箱轉速4,烘箱轉速5,烘箱轉速6,烘箱轉速7,烘箱轉速8,烘箱溫度1,烘箱溫度2,烘箱溫度3,烘箱溫度4,烘箱溫度5,烘箱溫度6,烘箱溫度7,烘箱溫度8,烘箱溫度設定1,烘箱溫度設定2,烘箱溫度設定3,烘箱溫度設定4,烘箱溫度設定5,烘箱溫度設定6,烘箱溫度設定7,烘箱溫度設定8,排風轉速1,排風轉速2,排風濕度,含水率,總耗電,Thermal_Temper_NW,Thermal_Temper_N,Thermal_Temper_NE,Thermal_Temper_W,Thermal_Temper_C,Thermal_Temper_E,Thermal_Temper_SW,Thermal_Temper_S,Thermal_Temper_SE,Thermal_Temper_avg,Thermal_uniformity,Therma_Spot1_Temper,Thermal_Spot1_Temper_min,Thermal_Spot1_Temper_avg,Thermal_Spot1_Temper_max,Thermal_Full_min,Thermal_Full_avg,Thermal_Full_max,幅寬,碼重,布種規格
1,2021/4/27 22:49:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.39999962,5,5,1800,1756,1792,1800,1800,1791,1800,1536,168,170,170,170,170,170,170,170,168,170,170,170,170,170,170,170,1790,1777,,2.399880171,101,92.23500061,92.98799896,88.86699677,89.22399902,89.06900024,85.92700195,91.45999908,91.48899841,89.9980011,90.13999939,0.912999988,0,83.70300293,90.57499695,96.7440033,96.7440033,96.7440033,96.7440033,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:50:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.5,5,5,1800,1756,1792,1800,1800,1792,1800,1538,168,170,170,170,170,170,170,170,168,170,170,170,170,170,170,170,1790,1777,,2.399880171,101,93.14900208,91.56700134,91.37799835,91.50299835,90.625,89.98100281,89.53099823,88.74900055,88.3239975,90.53399658,0.930000007,0,87.22799683,90.58999634,93.59999847,93.59999847,93.59999847,93.59999847,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:51:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.39999962,5,5,1800,1757,1792,1800,1800,1791,1800,1536,167,170,170,170,170,170,170,170,167,170,170,170,170,170,170,170,1790,1777,,2.399880171,101,93.61799622,90.56300354,89.44599915,91.43699646,89.33000183,88.21299744,90.01100159,87.59300232,86.28500366,89.61100006,0.893000007,0,86.03199768,89.45400238,94.15299988,94.15299988,94.15299988,94.15299988,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:52:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.5,5,5,1800,1757,1792,1800,1800,1791,1800,1538,168,170,170,170,170,170,170,170,168,170,170,170,170,170,170,170,1790,1777,,2.399880171,101,94.41899872,92.21199799,90.71800232,92.31500244,90.91100311,89.51300049,89.57900238,88.91500092,88.37400055,90.77300262,0.907999992,0,87.80999756,91.05699921,94.84100342,94.84100342,94.84100342,94.84100342,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:53:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.5,5,5,1800,1756,1792,1800,1800,1791,1800,1538,168,170,170,170,170,170,170,170,168,170,170,170,170,170,170,170,1790,1777,,2.399880171,101,93.98899841,91.38500214,89.83799744,90.90200043,89.45600128,89.11000061,89.14600372,87.95500183,87.23899841,89.89099884,0.915000021,0,86.9280014,90.15000153,94.4260025,94.4260025,94.4260025,94.4260025,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:54:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.39999962,5,5,1800,1756,1792,1800,1800,1791,1800,1537,168,170,170,170,170,170,170,170,168,170,170,170,170,170,170,170,1790,1777,,2.399880171,101,92.21099854,91.15799713,90.52899933,90.14199829,89.12200165,88.98400116,89.01399994,88.20700073,88.20500183,89.73000336,0.907999992,0,87.59700012,89.79000092,93.25499725,93.25499725,93.25499725,93.25499725,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:55:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.5,5,5,1800,1756,1792,1800,1800,1792,1800,1538,168,170,170,170,170,170,170,171,168,170,170,170,170,170,170,171,1790,1777,,2.399880171,101,94.01699829,92.59300232,89.58599854,91.82700348,90.16699982,88.34999847,90.41500092,88.10800171,86.69999695,90.19599915,0.907999992,0,86.89900208,90.21499634,94.45999908,94.45999908,94.45999908,94.45999908,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:56:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.39999962,5,5,1800,1756,1792,1800,1800,1791,1800,1537,168,170,170,170,170,170,170,171,168,170,170,170,170,170,170,171,1790,1777,,2.399880171,101,93.76399994,91.55799866,90.87000275,92.35800171,89.62200165,89.28900146,90.57800293,89.20600128,87.98799896,90.58100128,0.922999978,0,87.94100189,90.85199738,94.25299835,94.25299835,94.25299835,94.25299835,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:57:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.29999924,5,5,1800,1756,1792,1800,1800,1792,1800,1537,168,170,170,170,170,170,170,170,168,170,170,170,170,170,170,170,1790,1777,,2.399880171,101,93.23899841,92.38500214,91.85099792,91.08999634,91.19799805,90.45200348,89.19100189,88.50099945,88.26599884,90.68599701,0.922999978,0,88.29100037,90.95500183,93.88200378,93.88200378,93.88200378,93.88200378,57,191,MF20-A/N/70D*320D無光NO PEACH
1,2021/4/27 22:58:00,E0390043,HT2103190,1,7,MF20-A,2月2日,海洋藍,N,CUX,OCEAN,0,HT2103190/14%/N,Y,12,6,24.5,5,5,1800,1756,1792,1800,1800,1791,1800,1538,168,170,170,170,170,170,170,170,168,170,170,170,170,170,170,170,1790,1777,,2.399880171,101,92.14099884,90.63400269,90.47599792,89.68499756,88.84799957,88.78500366,87.66999817,88.14600372,87.72599792,89.34600067,0.926999986,0,87.31400299,89.4940033,92.77400208,92.77400208,92.77400208,92.77400208,57,191,MF20-A/N/70D*320D無光NO PEACH
